fips5,aph_1975_2009,state_fips,county_fips,state_alpha,county_name,guarantee_base_65,guarantee_base_75,guarantee_base_85,guarantee_base_90
17001,124.742857,17,001,IL,Adams,324.331429,374.228571,424.125714,449.074286
17003,113.114286,17,003,IL,Alexander,294.097143,339.342857,384.588571,407.211429
17005,108.000000,17,005,IL,Bond,280.800000,324.000000,367.200000,388.800000
17007,129.885714,17,007,IL,Boone,337.702857,389.657143,441.611429,467.588571
17009,122.542857,17,009,IL,Brown,318.611429,367.628571,416.645714,441.154286
17011,140.314286,17,011,IL,Bureau,364.817143,420.942857,477.068571,505.131429
17013,120.485714,17,013,IL,Calhoun,313.262857,361.457143,409.651429,433.748571
17015,139.714286,17,015,IL,Carroll,363.257143,419.142857,475.028571,502.971429
17017,141.028571,17,017,IL,Cass,366.674286,423.085714,479.497143,507.702857
17019,142.942857,17,019,IL,Champaign,371.651429,428.828571,486.005714,514.594286
17021,149.628571,17,021,IL,Christian,389.034286,448.885714,508.737143,538.662857
17023,129.628571,17,023,IL,Clark,337.034286,388.885714,440.737143,466.662857
17025,100.857143,17,025,IL,Clay,262.228571,302.571429,342.914286,363.085714
17027,108.742857,17,027,IL,Clinton,282.731429,326.228571,369.725714,391.474286
17029,141.400000,17,029,IL,Coles,367.640000,424.200000,480.760000,509.040000
17033,118.428571,17,033,IL,Crawford,307.914286,355.285714,402.657143,426.342857
17035,126.657143,17,035,IL,Cumberland,329.308571,379.971429,430.634286,455.965714
17037,143.257143,17,037,IL,De Kalb,372.468571,429.771429,487.074286,515.725714
17039,144.428571,17,039,IL,De Witt,375.514286,433.285714,491.057143,519.942857
17041,139.400000,17,041,IL,Douglas,362.440000,418.200000,473.960000,501.840000
17045,139.857143,17,045,IL,Edgar,363.628571,419.571429,475.514286,503.485714
17047,109.828571,17,047,IL,Edwards,285.554286,329.485714,373.417143,395.382857
17049,116.971429,17,049,IL,Effingham,304.125714,350.914286,397.702857,421.097143
17051,110.228571,17,051,IL,Fayette,286.594286,330.685714,374.777143,396.822857
17053,131.257143,17,053,IL,Ford,341.268571,393.771429,446.274286,472.525714
17055,94.885714,17,055,IL,Franklin,246.702857,284.657143,322.611429,341.588571
17057,130.514286,17,057,IL,Fulton,339.337143,391.542857,443.748571,469.851429
17059,120.942857,17,059,IL,Gallatin,314.451429,362.828571,411.205714,435.394286
17061,129.600000,17,061,IL,Greene,336.960000,388.800000,440.640000,466.560000
17063,132.828571,17,063,IL,Grundy,345.354286,398.485714,451.617143,478.182857
17065,104.514286,17,065,IL,Hamilton,271.737143,313.542857,355.348571,376.251429
17067,130.371429,17,067,IL,Hancock,338.965714,391.114286,443.262857,469.337143
17071,139.771429,17,071,IL,Henderson,363.405714,419.314286,475.222857,503.177143
17073,135.685714,17,073,IL,Henry,352.782857,407.057143,461.331429,488.468571
17075,133.171429,17,075,IL,Iroquois,346.245714,399.514286,452.782857,479.417143
17077,103.485714,17,077,IL,Jackson,269.062857,310.457143,351.851429,372.548571
17079,118.085714,17,079,IL,Jasper,307.022857,354.257143,401.491429,425.108571
17081,93.628571,17,081,IL,Jefferson,243.434286,280.885714,318.337143,337.062857
17083,127.600000,17,083,IL,Jersey,331.760000,382.800000,433.840000,459.360000
17085,129.485714,17,085,IL,Jo Daviess,336.662857,388.457143,440.251429,466.148571
17087,95.971429,17,087,IL,Johnson,249.525714,287.914286,326.302857,345.497143
17089,138.800000,17,089,IL,Kane,360.880000,416.400000,471.920000,499.680000
17091,128.257143,17,091,IL,Kankakee,333.468571,384.771429,436.074286,461.725714
17093,131.657143,17,093,IL,Kendall,342.308571,394.971429,447.634286,473.965714
17095,139.342857,17,095,IL,Knox,362.291429,418.028571,473.765714,501.634286
17097,103.485714,17,097,IL,Lake,269.062857,310.457143,351.851429,372.548571
17099,137.571429,17,099,IL,La Salle,357.685714,412.714286,467.742857,495.257143
17101,111.857143,17,101,IL,Lawrence,290.828571,335.571429,380.314286,402.685714
17103,138.485714,17,103,IL,Lee,360.062857,415.457143,470.851429,498.548571
17105,132.257143,17,105,IL,Livingston,343.868571,396.771429,449.674286,476.125714
17107,146.600000,17,107,IL,Logan,381.160000,439.800000,498.440000,527.760000
17109,141.828571,17,109,IL,Mcdonough,368.754286,425.485714,482.217143,510.582857
17111,124.971429,17,111,IL,Mchenry,324.925714,374.914286,424.902857,449.897143
17113,143.285714,17,113,IL,Mclean,372.542857,429.857143,487.171429,515.828571
17115,151.600000,17,115,IL,Macon,394.160000,454.800000,515.440000,545.760000
17117,133.828571,17,117,IL,Macoupin,347.954286,401.485714,455.017143,481.782857
17119,119.314286,17,119,IL,Madison,310.217143,357.942857,405.668571,429.531429
17121,101.971429,17,121,IL,Marion,265.125714,305.914286,346.702857,367.097143
17123,136.485714,17,123,IL,Marshall,354.862857,409.457143,464.051429,491.348571
17125,129.514286,17,125,IL,Mason,336.737143,388.542857,440.348571,466.251429
17127,104.600000,17,127,IL,Massac,271.960000,313.800000,355.640000,376.560000
17129,145.142857,17,129,IL,Menard,377.371429,435.428571,493.485714,522.514286
17131,136.942857,17,131,IL,Mercer,356.051429,410.828571,465.605714,492.994286
17133,113.085714,17,133,IL,Monroe,294.022857,339.257143,384.491429,407.108571
17135,132.914286,17,135,IL,Montgomery,345.577143,398.742857,451.908571,478.491429
