fips5,alpha_c,beta_c,n_obs,trend_window,state_fips,county_fips,state_alpha,county_name
17001,83.471429,2.427731,35,1975_2009,17,001,IL,Adams
17003,71.433333,2.451821,35,1975_2009,17,003,IL,Alexander
17005,75.866667,1.890196,35,1975_2009,17,005,IL,Bond
17007,103.090476,1.576190,35,1975_2009,17,007,IL,Boone
17009,88.095238,2.026331,35,1975_2009,17,009,IL,Brown
17011,104.376190,2.114006,35,1975_2009,17,011,IL,Bureau
17013,84.138095,2.138095,35,1975_2009,17,013,IL,Calhoun
17015,97.352381,2.491877,35,1975_2009,17,015,IL,Carroll
17017,105.633333,2.082073,35,1975_2009,17,017,IL,Cass
17019,112.700000,1.778992,35,1975_2009,17,019,IL,Champaign
17021,116.114286,1.971429,35,1975_2009,17,021,IL,Christian
17023,99.371429,1.779832,35,1975_2009,17,023,IL,Clark
17025,73.590476,1.603922,35,1975_2009,17,025,IL,Clay
17027,72.033333,2.159384,35,1975_2009,17,027,IL,Clinton
17029,111.633333,1.750980,35,1975_2009,17,029,IL,Coles
17033,92.147619,1.545938,35,1975_2009,17,033,IL,Crawford
17035,95.714286,1.820168,35,1975_2009,17,035,IL,Cumberland
17037,115.347619,1.641737,35,1975_2009,17,037,IL,De Kalb
17039,111.657143,1.927731,35,1975_2009,17,039,IL,De Witt
17041,112.838095,1.562465,35,1975_2009,17,041,IL,Douglas
17045,111.952381,1.641457,35,1975_2009,17,045,IL,Edgar
17047,84.190476,1.508123,35,1975_2009,17,047,IL,Edwards
17049,86.052381,1.818768,35,1975_2009,17,049,IL,Effingham
17051,78.057143,1.892437,35,1975_2009,17,051,IL,Fayette
17053,93.657143,2.211765,35,1975_2009,17,053,IL,Ford
17055,69.033333,1.520728,35,1975_2009,17,055,IL,Franklin
17057,89.790476,2.395518,35,1975_2009,17,057,IL,Fulton
17059,90.847619,1.770308,35,1975_2009,17,059,IL,Gallatin
17061,97.952381,1.861625,35,1975_2009,17,061,IL,Greene
17063,101.033333,1.870308,35,1975_2009,17,063,IL,Grundy
17065,72.804762,1.865266,35,1975_2009,17,065,IL,Hamilton
17067,87.919048,2.497199,35,1975_2009,17,067,IL,Hancock
17071,105.861905,1.994678,35,1975_2009,17,071,IL,Henderson
17073,100.609524,2.063305,35,1975_2009,17,073,IL,Henry
17075,95.423810,2.220448,35,1975_2009,17,075,IL,Iroquois
17077,71.452381,1.884314,35,1975_2009,17,077,IL,Jackson
17079,91.280952,1.576751,35,1975_2009,17,079,IL,Jasper
17081,68.447619,1.481232,35,1975_2009,17,081,IL,Jefferson
17083,93.652381,1.996919,35,1975_2009,17,083,IL,Jersey
17085,92.538095,2.173389,35,1975_2009,17,085,IL,Jo Daviess
17087,63.409524,1.915406,35,1975_2009,17,087,IL,Johnson
17089,113.295238,1.500280,35,1975_2009,17,089,IL,Kane
17091,96.409524,1.873389,35,1975_2009,17,091,IL,Kankakee
17093,100.561905,1.829132,35,1975_2009,17,093,IL,Kendall
17095,101.319048,2.236695,35,1975_2009,17,095,IL,Knox
17097,86.776190,0.982913,35,1975_2009,17,097,IL,Lake
17099,104.128571,1.967227,35,1975_2009,17,099,IL,La Salle
17101,83.071429,1.693277,35,1975_2009,17,101,IL,Lawrence
17103,104.285714,2.011765,35,1975_2009,17,103,IL,Lee
17105,95.947619,2.135854,35,1975_2009,17,105,IL,Livingston
17107,113.328571,1.957143,35,1975_2009,17,107,IL,Logan
17109,98.185714,2.567227,35,1975_2009,17,109,IL,Mcdonough
17111,99.528571,1.496639,35,1975_2009,17,111,IL,Mchenry
17113,106.619048,2.156863,35,1975_2009,17,113,IL,Mclean
17115,118.090476,1.971148,35,1975_2009,17,115,IL,Macon
17117,101.395238,1.907843,35,1975_2009,17,117,IL,Macoupin
17119,87.766667,1.855742,35,1975_2009,17,119,IL,Madison
17121,70.871429,1.829412,35,1975_2009,17,121,IL,Marion
17123,98.485714,2.235294,35,1975_2009,17,123,IL,Marshall
17125,92.728571,2.163866,35,1975_2009,17,125,IL,Mason
17127,75.904762,1.687955,35,1975_2009,17,127,IL,Massac
17129,111.495238,1.979272,35,1975_2009,17,129,IL,Menard
17131,100.795238,2.126331,35,1975_2009,17,131,IL,Mercer
17133,85.600000,1.616807,35,1975_2009,17,133,IL,Monroe
17135,100.471429,1.908403,35,1975_2009,17,135,IL,Montgomery
17137,114.271429,1.935294,35,1975_2009,17,137,IL,Morgan
17139,123.990476,1.477871,35,1975_2009,17,139,IL,Moultrie
17141,103.619048,1.978711,35,1975_2009,17,141,IL,Ogle
17143,95.809524,2.359104,35,1975_2009,17,143,IL,Peoria
17145,68.971429,1.257143,35,1975_2009,17,145,IL,Perry
17147,122.338095,1.640616,35,1975_2009,17,147,IL,Piatt
17149,89.090476,2.270308,35,1975_2009,17,149,IL,Pike
17153,73.757143,2.170588,35,1975_2009,17,153,IL,Pulaski
17155,98.890476,2.335854,35,1975_2009,17,155,IL,Putnam
17157,73.571429,1.514286,35,1975_2009,17,157,IL,Randolph
17159,80.314286,1.339496,35,1975_2009,17,159,IL,Richland
17161,97.009524,2.204482,35,1975_2009,17,161,IL,Rock Island
17163,88.995238,1.704482,35,1975_2009,17,163,IL,St Clair
17165,72.652381,1.899440,35,1975_2009,17,165,IL,Saline
17167,116.590476,1.995518,35,1975_2009,17,167,IL,Sangamon
17169,84.390476,2.545098,35,1975_2009,17,169,IL,Schuyler
17171,104.057143,1.865546,35,1975_2009,17,171,IL,Scott
17173,107.276190,1.577031,35,1975_2009,17,173,IL,Shelby
17175,104.080952,2.195238,35,1975_2009,17,175,IL,Stark
17177,94.666667,2.160784,35,1975_2009,17,177,IL,Stephenson
17179,105.242857,2.170588,35,1975_2009,17,179,IL,Tazewell
17181,71.571429,2.110924,35,1975_2009,17,181,IL,Union
17183,105.861905,1.804762,35,1975_2009,17,183,IL,Vermilion
17185,87.028571,1.663866,35,1975_2009,17,185,IL,Wabash
17187,106.228571,2.243697,35,1975_2009,17,187,IL,Warren
17189,71.890476,1.870308,35,1975_2009,17,189,IL,Washington
17191,71.538095,1.850700,35,1975_2009,17,191,IL,Wayne
17193,78.304762,2.012325,35,1975_2009,17,193,IL,White
17195,101.200000,1.919328,35,1975_2009,17,195,IL,Whiteside
17197,91.366667,1.870868,35,1975_2009,17,197,IL,Will
17199,66.619048,1.682913,35,1975_2009,17,199,IL,Williamson
17201,96.633333,1.737535,35,1975_2009,17,201,IL,Winnebago
17203,100.066667,2.416246,35,1975_2009,17,203,IL,Woodford
18001,94.319524,1.665070,35,1975_2009,18,001,IN,Adams
18003,93.134286,1.965882,35,1975_2009,18,003,IN,Allen
18005,94.937619,1.702493,35,1975_2009,18,005,IN,Bartholomew
18007,99.736190,2.057199,35,1975_2009,18,007,IN,Benton
18009,95.395714,1.672353,35,1975_2009,18,009,IN,Blackford
18011,106.180476,1.680476,35,1975_2009,18,011,IN,Boone
18015,103.865714,2.207731,35,1975_2009,18,015,IN,Carroll
18017,98.708095,2.051625,35,1975_2009,18,017,IN,Cass
