state_fips,state_alpha,state_name,county_fips,county_name,asd_code,year,yield_bu_acre
18,IN,Indiana,095,Madison,50,2004,172.8
17,IL,Illinois,045,Edgar,70,2018,213.1
27,MN,Minnesota,151,Swift,40,2009,173.0
26,MI,Michigan,045,Eaton,80,1994,129.0
55,WI,Wisconsin,091,Pepin,40,2021,176.8
27,MN,Minnesota,101,Murray,70,1981,93.0
31,NE,Nebraska,065,Furnas,80,2001,120.6
17,IL,Illinois,065,Hamilton,90,2004,162.0
19,IA,Iowa,101,Jefferson,90,1975,88.9
17,IL,Illinois,141,Ogle,10,2002,151.0
18,IN,Indiana,055,Greene,70,1997,94.3
55,WI,Wisconsin,063,La Crosse,40,1982,107.2
26,MI,Michigan,035,Clare,50,2012,128.0
31,NE,Nebraska,101,Keith,70,2005,150.3
27,MN,Minnesota,135,Roseau,10,1988,62.0
17,IL,Illinois,039,De Witt,40,1992,154.0
17,IL,Illinois,041,Douglas,70,2002,134.0
27,MN,Minnesota,013,Blue Earth,80,2000,148.0
17,IL,Illinois,119,Madison,60,1997,128.0
55,WI,Wisconsin,013,Burnett,10,1987,95.0
18,IN,Indiana,115,Ohio,90,1981,90.7
27,MN,Minnesota,105,Nobles,70,1984,99.0
17,IL,Illinois,179,Tazewell,40,1992,160.0
18,IN,Indiana,021,Clay,40,1983,63.6
19,IA,Iowa,013,Black Hawk,30,1977,109.8
27,MN,Minnesota,087,Mahnomen,10,2022,167.5
19,IA,Iowa,071,Fremont,70,1988,112.0
55,WI,Wisconsin,023,Crawford,70,1991,118.1
55,WI,Wisconsin,005,Barron,10,2010,161.3
18,IN,Indiana,109,Morgan,50,1991,118.6
18,IN,Indiana,085,Kosciusko,20,2021,188.9
26,MI,Michigan,019,Benzie,20,1983,76.5
17,IL,Illinois,009,Brown,30,1990,123.0
27,MN,Minnesota,029,Clearwater,10,2006,68.0
17,IL,Illinois,175,Stark,40,1991,134.0
27,MN,Minnesota,111,Otter Tail,40,2008,144.0
26,MI,Michigan,001,Alcona,30,2009,95.0
19,IA,Iowa,095,Iowa,60,2014,192.1
18,IN,Indiana,051,Gibson,70,1999,128.1
31,NE,Nebraska,071,Garfield,20,2007,169.8
17,IL,Illinois,203,Woodford,40,2017,214.2
18,IN,Indiana,161,Union,60,2019,178.7
27,MN,Minnesota,099,Mower,90,1994,150.0
26,MI,Michigan,157,Tuscola,60,2017,172.1
26,MI,Michigan,077,Kalamazoo,70,2021,150.0
17,IL,Illinois,163,St Clair,80,2008,155.0
26,MI,Michigan,117,Montcalm,50,2017,134.2
26,MI,Michigan,135,Oscoda,30,1983,80.8
17,IL,Illinois,137,Morgan,60,1978,116.0
27,MN,Minnesota,095,Mille Lacs,60,2012,146.0
18,IN,Indiana,163,Vanderburgh,70,2004,161.7
55,WI,Wisconsin,011,Buffalo,40,1991,123.3
55,WI,Wisconsin,079,Milwaukee,90,1988,50.0
19,IA,Iowa,145,Page,70,1978,97.2
39,OH,Ohio,169,Wayne,30,1988,70.1
17,IL,Illinois,027,Clinton,80,2007,132.0
26,MI,Michigan,079,Kalkaska,20,2011,80.0
55,WI,Wisconsin,123,Vernon,70,1997,132.0
27,MN,Minnesota,143,Sibley,50,1976,49.9
39,OH,Ohio,111,Monroe,90,1996,133.9
39,OH,Ohio,139,Richland,20,1993,85.8
19,IA,Iowa,145,Page,70,2010,150.1
18,IN,Indiana,059,Hancock,50,1977,96.3
31,NE,Nebraska,015,Boyd,20,2010,140.5
18,IN,Indiana,149,Starke,10,2009,134.0
18,IN,Indiana,133,Putnam,40,2018,196.8
18,IN,Indiana,033,De Kalb,30,1990,120.5
18,IN,Indiana,019,Clark,90,2021,180.8
55,WI,Wisconsin,131,Washington,90,2003,115.0
