fips5,aph,rate_Kernel_65,rate_Kernel_75,rate_Kernel_85,rate_Kernel_90,rate_Gaussian_65,rate_Gaussian_75,rate_Gaussian_85,rate_Gaussian_90,rate_t_65,rate_t_75,rate_t_85,rate_t_90,rate_Frank_65,rate_Frank_75,rate_Frank_85,rate_Frank_90,rate_Gumbel_65,rate_Gumbel_75,rate_Gumbel_85,rate_Gumbel_90,rate_Clayton_65,rate_Clayton_75,rate_Clayton_85,rate_Clayton_90,rate_OptMix_65,rate_OptMix_75,rate_OptMix_85,rate_OptMix_90
17001,124.7429,40.0868,72.1530,109.0348,128.5572,30.1625,60.7593,98.8538,119.5786,33.9556,62.7407,98.9706,119.4047,30.6110,58.2708,93.2343,112.4943,33.9141,64.7357,102.2972,122.4034,27.8791,56.4758,93.1084,113.3020,31.5628,61.5175,98.7171,118.8573
17003,113.1143,32.7617,60.8558,97.2279,117.3516,25.1457,51.1417,88.6635,110.6362,26.4464,52.2413,89.2247,110.5723,26.0954,49.4442,83.8286,104.5762,29.7233,56.6804,93.0067,113.7682,26.4744,50.8444,85.9652,106.5842,29.5157,56.3075,92.5567,113.3092
17005,108.0000,37.5228,64.5913,96.3097,115.4694,30.1623,52.5746,81.7850,102.0053,32.3097,53.8944,81.9207,101.4369,29.5856,50.0485,76.0344,94.6746,32.8523,55.6844,84.5363,103.9036,25.4674,45.5503,73.8338,93.6508,31.0271,53.1797,81.8912,101.3696
17007,129.8857,18.9171,44.4085,82.4622,105.2648,16.0299,37.5969,74.3228,97.5736,18.2768,39.2389,75.5678,98.8696,16.9471,36.8059,70.2288,92.0635,18.2567,40.8982,78.2623,101.4389,15.2634,36.4023,71.6940,93.9385,17.4730,39.7211,76.5427,99.4752
17009,122.5429,27.4330,55.1882,90.5562,111.2296,20.9018,44.5094,79.5541,101.6468,22.7939,46.6152,80.6262,102.1073,21.7465,43.2412,74.5474,94.8548,23.8105,48.7496,83.4381,104.8422,17.8609,40.1662,73.6000,94.6301,23.5088,48.3143,82.9392,104.3244
17011,140.3143,22.9707,50.4203,89.1045,113.0354,18.7096,43.3497,81.5256,106.7480,17.9717,41.3908,78.8971,103.7666,20.0468,43.3915,80.0489,104.4272,21.8890,47.1527,85.2748,110.2493,17.1644,40.2865,76.7771,101.2634,19.9668,44.3592,81.8176,106.5934
17013,120.4857,19.9847,45.9498,83.0335,104.6063,14.5321,39.6174,78.2479,101.6025,14.0820,38.3132,76.3317,99.2591,16.0553,39.5606,76.8601,99.5225,18.1939,43.8330,81.8139,104.2142,12.7199,35.5979,73.0427,95.7560,13.8686,37.3261,74.8833,97.5309
17015,139.7143,28.0687,58.8758,104.5269,129.6548,23.7841,50.0977,92.3876,117.6431,26.5797,50.0978,89.5515,113.8753,25.7882,51.0965,91.7670,116.1359,27.0405,53.7670,95.7976,120.7597,24.0507,49.4084,90.0237,114.5677,26.9515,53.6373,95.6258,120.5754
17017,141.0286,21.8188,55.2679,100.3694,125.0513,13.9694,42.7298,86.4978,112.9096,13.9748,39.6445,82.3312,108.5085,15.9918,42.7064,85.0353,110.4304,14.7448,43.0046,87.3724,113.7424,13.6694,39.6766,80.9297,105.7378,14.7448,43.0046,87.3724,113.7424
17019,142.9429,32.8605,69.4713,110.4247,132.2767,28.1748,61.0441,98.9729,120.1947,26.6863,58.8623,96.5288,117.0544,30.4250,62.1415,99.0346,119.4740,27.9218,61.6085,100.5806,122.0107,31.9501,62.9963,99.3856,119.2430,28.2558,61.7235,100.4816,121.7813
